Status,Lift Name,Type,Capacity,Vertical Rise,Length,Line Speed,Drive,Ride Time,Resort,State,Ikon,Epic,Price,Season,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Lift capacity,Nightskiing,Summer skiing
Operating,1 Northern Spirit Express,High Speed Quad,2400,1847,6644,1000,Top,6.6,49 north,wa,0,0,50,November - April,20,27,21,68,0,8250,No,No
Operating,2 Grubstake,Double,1200,793,3445,500,Bottom,6.9,49 north,wa,0,0,50,November - April,20,27,21,68,0,8250,No,No
Operating,3 Payday,Double,1000,348,1903,400,Bottom,4.8,49 north,wa,0,0,50,November - April,20,27,21,68,0,8250,No,No
Operating,4 Silver Lode,Double,950,1595,5100,500,Top,10.2,49 north,wa,0,0,50,November - April,20,27,21,68,0,8250,No,No
Operating,5 Sunrise,Quad,1250,1510,,,Top,9.8,49 north,wa,0,0,50,November - April,20,27,21,68,0,8250,No,No
Operating,6 Angel Peak,Double,1090,1144,,,Top,8.7,49 north,wa,0,0,50,November - April,20,27,21,68,0,8250,No,No
Operating,Chair 1,Double,1000,240,1150,400,Bottom,2.9,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 2,Quad,2150,200,1140,375,Bottom,3,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 3,Triple,1800,235,983,400,Bottom,2.5,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 4,Double,1000,65,554,340,Bottom,1.6,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 5,Double,1200,230,1232,400,Top,3.1,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 6,Double,1000,269,1293,400,Top,3.2,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 7,Double,1500,200,826,400,Top,2.1,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 9,Double,1000,163,1144,345,Top,3.3,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 10,Double,1000,153,971,340,Top,2.9,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 11,Double,1000,190,1100,400,Top,2.8,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 12,Double,1000,175,674,400,Top,1.7,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 13,Triple,1500,280,1923,400,Bottom,4.8,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 14,Double,1000,290,1875,400,Top,4.7,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 15,Double,1000,277,1628,400,Top,4.1,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 16,Double,1000,210,900,400,Top,2.3,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 17,Double,1000,240,1347,400,Top,3.4,afton alps,mn,0,1,,,,,,,,,,
Operating,Chair 18,Double,1000,70,540,340,Top,1.6,afton alps,mn,0,1,,,,,,,,,,
Operating,Scenic Chairlift,Double,,,,,Top,,alpine slide at magic mountain,ca,0,0,,,,,,,,,,
Operating,Chair 2,Double,1000,173,1110,465,Bottom,2.4,alpine valley,mi,0,1,,,,,,,,,,
Operating,Chair 3,Double,1000,173,1110,465,Bottom,2.4,alpine valley,mi,0,1,,,,,,,,,,
Operating,Chair 4,Triple,1800,224,972,380,Bottom,2.6,alpine valley,mi,0,1,,,,,,,,,,
Operating,Chair 5,Triple,1235,179,1082,415,Bottom,2.6,alpine valley,mi,0,1,,,,,,,,,,
Operating,Chair 7,Double,1000,177,865,465,Bottom,1.9,alpine valley,mi,0,1,,,,,,,,,,
Operating,Chair 8,Quad,,,,,Bottom,,alpine valley,mi,0,1,,,,,,,,,,
Operating,Albion,Double,1000,867,5150,475,Bottom,10.8,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Collins Stage 1,High Speed Quad,2400,741,2727,1000,Top,2.7,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Collins Stage 2,High Speed Quad,2400,1099,3569,1000,Bottom,3.6,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Rustler,Triple,600,85,475,300,Bottom,1.6,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Snowpine,Quad,800,85,487,300,Top,1.6,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Sugarloaf,High Speed Quad,2400,1371,5042,1000,Bottom,5,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Sunnyside,High Speed Six,2800,799,4719,1000,Bottom,4.7,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Supreme,High Speed Quad,2400,1224,5134,1000,Bottom,5.1,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Transfer Tow,Platter,2040,108,2482,833,Top,3,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Wildcat,Double,1000,1226,4268,500,Bottom,8.5,alta,ut,1,0,82,November - April,29,46,40,115,4,13100,Yes,No
Operating,Lakeview,Double,,,,,Top,,alta sierra,ca,0,0,,,,,,,,,,
Operating,Ridge,Double,,,,,Top,,alta sierra,ca,0,0,,,,,,,,,,
