Resort,Season,Day Pass,Season Pass,State
Abenaki,2009-10,,70,nh
Abenaki,2011-12,10,70,nh
Abenaki,2012-13,10,70,nh
Abenaki,2013-14,17,153,nh
Abenaki,2014-15,17,153,nh
Abenaki,2015-16,17,153,nh
Abenaki,2016-17,17,153,nh
Abenaki,2018-19,20,160,nh
Abenaki,2019-20,25,160,nh
Abenaki,2021-22,20,150,nh
Abenaki,2022-23,20,150,nh
Arrowhead,2002-03,7,,nh
Arrowhead,2003-04,7,,nh
Arrowhead,2004-05,7,,nh
Arrowhead,2005-06,7,,nh
Arrowhead,2007-08,7,,nh
Arrowhead,2009-10,8,,nh
Arrowhead,2010-11,8,120,nh
Arrowhead,2011-12,8,120,nh
Arrowhead,2012-13,8,120,nh
Arrowhead,2013-14,8,120,nh
Arrowhead,2014-15,9,120,nh
Arrowhead,2015-16,9,120,nh
Arrowhead,2016-17,,120,nh
Arrowhead,2019-20,9,120,nh
Arrowhead,2021-22,9,,nh
Arrowhead,2022-23,10,,nh
Ascutney,1997-98,39,,vt
Ascutney,1999-00,43,599,vt
Ascutney,2000-01,46,699,vt
Ascutney,2001-02,49,799,vt
Ascutney,2002-03,52,799,vt
Ascutney,2003-04,54,799,vt
Ascutney,2004-05,55,819,vt
Ascutney,2005-06,56,819,vt
Ascutney,2006-07,58,829,vt
Ascutney,2007-08,60,829,vt
Ascutney,2008-09,62,839,vt
Ascutney,2009-10,62,839,vt
Ascutney,2015-16,0,,vt
Ascutney,2016-17,0,,vt
Ascutney,2017-18,0,,vt
Ascutney,2019-20,15,100,vt
Ascutney,2020-21,15,100,vt
Ascutney,2021-22,20,100,vt
Ascutney,2022-23,20,100,vt
Attitash,1997-98,46,,nh
Attitash,1998-99,48,,nh
Attitash,1999-00,48,,nh
Attitash,2000-01,49,,nh
Attitash,2001-02,49,,nh
Attitash,2002-03,,1249,nh
Attitash,2003-04,49,699,nh
Attitash,2004-05,55,1100,nh
Attitash,2005-06,59,1300,nh
Attitash,2006-07,65,1200,nh
Attitash,2007-08,65,699,nh
Attitash,2008-09,69,779,nh
Attitash,2009-10,69,,nh
Attitash,2010-11,70,799,nh
Attitash,2011-12,70,799,nh
Attitash,2012-13,70,799,nh
Attitash,2013-14,70,799,nh
Attitash,2014-15,75,829,nh
Attitash,2015-16,79,859,nh
Attitash,2016-17,79,999,nh
Attitash,2017-18,85,999,nh
Attitash,2018-19,89,1129,nh
Attitash,2019-20,89,739,nh
Attitash,2020-21,94,639,nh
Attitash,2021-22,99,499,nh
Attitash,2022-23,115,557,nh
Attitash,2023-24,129,,nh
Baker Mountain,2017-18,12,100,me
Baker Mountain,2018-19,12,100,me
Baker Mountain,2019-20,15,125,me
Baker Mountain,2021-22,15,125,me
Baker Mountain,2022-23,15,140,me
Balsams Wilderness,1998-99,30,,nh
Balsams Wilderness,1999-00,30,,nh
Balsams Wilderness,2003-04,35,,nh
Balsams Wilderness,2004-05,35,,nh
Balsams Wilderness,2005-06,35,,nh
Balsams Wilderness,2006-07,38,,nh
Balsams Wilderness,2007-08,38,499,nh
Balsams Wilderness,2008-09,38,,nh
Balsams Wilderness,2009-10,38,,nh
Balsams Wilderness,2010-11,45,,nh
Bear Creek Mountain Club,2003-04,75,,vt
Bear Creek Mountain Club,2004-05,75,,vt
Bear Creek Mountain Club,2005-06,75,,vt
Bear Creek Mountain Club,2006-07,75,,vt
Bear Creek Mountain Club,2007-08,75,,vt
Bear Creek Mountain Club,2008-09,75,,vt
Bellows Falls,2007-08,2,,vt
Bellows Falls,2008-09,3,,vt
Bellows Falls,2013-14,3,,vt
Berkshire East,1997-98,35,,ma
Berkshire East,1998-99,35,399,ma
Berkshire East,1999-00,35,399,ma
Berkshire East,2000-01,35,379,ma
Berkshire East,2001-02,38,399,ma
Berkshire East,2002-03,38,399,ma
Berkshire East,2003-04,40,429,ma
Berkshire East,2004-05,42,429,ma
Berkshire East,2005-06,45,429,ma
Berkshire East,2006-07,48,429,ma
Berkshire East,2007-08,50,449,ma
Berkshire East,2008-09,52,459,ma
Berkshire East,2009-10,55,479,ma
Berkshire East,2010-11,58,499,ma
Berkshire East,2011-12,58,519,ma
Berkshire East,2012-13,58,519,ma
Berkshire East,2013-14,60,519,ma
Berkshire East,2014-15,60,539,ma
Berkshire East,2015-16,62,569,ma
Berkshire East,2016-17,65,659,ma
