1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
2,Operating,1 Northern Spirit Express,High Speed Quad,Doppelmayr,2021-,2400,1847,6644,800,1000,116,19,Top,Bottom,6.6,,49-north-wa/
3,Operating,2 Grubstake,Double,SLI,1972-,1200,793,3445,150,500,158,20,Bottom,Top,6.9,Lengthened in 2004 when the top station was moved uphill,49-north-wa/
4,Operating,3 Payday,Double,SLI,1972-,1000,348,1903,50,400,77,10,Bottom,Bottom,4.8,,49-north-wa/
5,Operating,4 Silver Lode,Double,Riblet,1978-,950,1595,5100,,500,153,24,Top,Bottom,10.2,"Relocated from Sun Valley, ID",49-north-wa/
6,Operating,5 Sunrise,Quad,CTEC,2006-,1250,1510,,,,106,19,Top,Bottom,9.8,"Relocated from Mount Hood Meadows, OR",49-north-wa/
7,Operating,6 Angel Peak,Double,Yan,2012-,1090,1144,,,,156,19,Top,Bottom,8.7,"Relocated from Copper Mountain, CO",49-north-wa/
8,Removed,1 Bonanza,Double,SLI,1972-2022,1050,1842,6640,250,515,222,31,Bottom,Top,12.9,,49-north-wa/
9,Removed,,Double,Ringer,1951-,,,3800,,,,,,,,,49-north-wa/
2,Operating,Quad,Quad,Doppelmayr,2017-,1531,229,918,74,450,,3,Bottom,Bottom,2,,adanac-on/
3,Removed,,T-Bar,Skyway,1974-2017,1200,180,770,,400,,,,,1.9,,adanac-on/
2,Operating,Grafton SkyTour,Pulse Chondola 3/6,Poma,2019-,500,308,2392,100,200,72,15,Bottom,Bottom,12,"Relocated from Glenwood Caverns, CO",aeries-il/
2,Operating,Chair 1,Double,Hall,1968-,1000,240,1150,,400,,7,Bottom,Bottom,2.9,,afton-alps-mn/
3,Operating,Chair 2,Quad,Hall,1979-,2150,200,1140,,375,,9,Bottom,Bottom,3,,afton-alps-mn/
4,Operating,Chair 3,Triple,Hall,1975-,1800,235,983,,400,,6,Bottom,Bottom,2.5,,afton-alps-mn/
5,Operating,Chair 4,Double,Hall,1971-,1000,65,554,,340,,4,Bottom,Bottom,1.6,,afton-alps-mn/
6,Operating,Chair 5,Double,Hall,1975-,1200,230,1232,,400,,7,Top,Bottom,3.1,,afton-alps-mn/
7,Operating,Chair 6,Double,Hall,1970-,1000,269,1293,,400,,9,Top,Bottom,3.2,,afton-alps-mn/
8,Operating,Chair 7,Double,Hall,1976-,1500,200,826,,400,,5,Top,Bottom,2.1,,afton-alps-mn/
9,Operating,Chair 9,Double,Hall,1970-,1000,163,1144,,345,,7,Top,Bottom,3.3,,afton-alps-mn/
10,Operating,Chair 10,Double,Hall,1973-,1000,153,971,,340,,6,Top,Bottom,2.9,,afton-alps-mn/
11,Operating,Chair 11,Double,Hall,1974-,1000,190,1100,,400,,7,Top,Bottom,2.8,,afton-alps-mn/
12,Operating,Chair 12,Double,Hall,1972-,1000,175,674,40,400,,5,Top,Bottom,1.7,,afton-alps-mn/
13,Operating,Chair 13,Triple,Hall,1971-,1500,280,1923,,400,,11,Bottom,Bottom,4.8,,afton-alps-mn/
14,Operating,Chair 14,Double,Hall,1972-,1000,290,1875,60,400,,9,Top,Bottom,4.7,,afton-alps-mn/
15,Operating,Chair 15,Double,Hall,1973-,1000,277,1628,,400,,10,Top,Bottom,4.1,,afton-alps-mn/
16,Operating,Chair 16,Double,Hall,1974-,1000,210,900,,400,,5,Top,Bottom,2.3,,afton-alps-mn/
